lat,lon,gpi,"3-ERA5
(v20190613)
Variable: swvl1 [m³/m³]
Median: 0.000353
IQR: 0.000662
N: 70","1-SMOS Level 3
(version 339 Descending)
Variable: Soil_Moisture [m³/m³]
Median: 0.00109
IQR: 0.00175
N: 70","2-C3S SM combined
(v202012)
Variable: sm [m³/m³]
Median: 0.000417
IQR: 0.00106
N: 70"
44.1475,-0.8456,8011,,0.00777279,
43.4417,1.88,8012,,0.0017474653,
43.4417,1.88,8013,,0.0009550037,
43.825,1.1767,8023,,5.714341e-09,
43.825,1.1767,8024,,0.0014791174,
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,,0.0007383103,
43.6397,-0.435,8038,,1.0945023e-05,
43.79517,4.09083,8042,,0.0008935094,
43.79517,4.09083,8044,,0.00023202835,
43.79517,4.09083,8051,,0.00012061393,
44.467,-0.7269,1404,,,0.0025905995
44.467,-0.7269,1407,,,0.0030724097
44.472,-0.7675,1410,,,0.00041881285
44.472,-0.7675,1411,,,0.0005741256
44.4914,-0.7568,1421,,,0.00060631114
44.49126,-0.758,1438,,,0.0010119453
44.7899,-0.5765,1446,,,0.0011978912
44.7899,-0.5765,1450,,,0.0013931622
44.7899,-0.5765,1451,,,0.0004317121
44.666,4.15983,7839,,,0.0003132854
44.666,4.15983,7841,,,0.00029782773
44.666,4.15983,7846,,,0.00018861376
44.666,4.15983,7847,,,0.0010423844
44.62833,4.56667,7851,,,0.0012320649
44.62833,4.56667,7852,,,0.001656194
44.62833,4.56667,7855,,,0.00031458391
44.62833,4.56667,7857,,,0.0012861914
43.88367,5.16483,7863,,,0.0013871855
43.88367,5.16483,7866,,,0.0016924295
43.9744,0.3361,7871,,,6.1686434e-05
43.9744,0.3361,7872,,,5.050327e-05
43.9744,0.3361,7873,,,0.000315283
43.9936,-0.0469,7885,,,7.0663045e-05
43.9936,-0.0469,7887,,,0.0001379057
43.9936,-0.0469,7889,,,0.00012065246
43.9936,-0.0469,7890,,,0.0020434456
44.243,4.01017,7892,,,0.00013076668
44.243,4.01017,7895,,,8.646657e-05
43.5472,0.8878,7903,,,0.00016535042
43.5472,0.8878,7904,,,0.0009859871
43.5472,0.8878,7909,,,0.00027069566
43.1733,2.7283,7913,,,1.151408e-06
43.1733,2.7283,7917,,,2.4056278e-06
44.73383,4.08383,7921,,,0.0042388965
44.73383,4.08383,7926,,,0.006646971
44.222,4.34483,7929,,,0.0026406045
44.222,4.34483,7932,,,1.3972109e-05
44.222,4.34483,7935,,,0.00019674397
44.222,4.34483,7937,,,5.4733446e-05
43.1922,1.6436,7939,,,0.00048371436
43.1922,1.6436,7940,,,0.0028487984
43.1922,1.6436,7943,,,3.29971e-05
43.1922,1.6436,7947,,,0.0004151211
42.96,2.53,7951,,,3.5774166e-05
42.96,2.53,7954,,,0.00017813228
42.96,2.53,7956,,,0.00021853708
42.96,2.53,7958,,,0.00046365158
43.15,2.9567,7962,,,0.00036662575
43.15,2.9567,7964,,,0.0003949376
43.15,2.9567,7970,,,0.00045677746
43.6664,0.2217,7975,,,2.3143532e-05
43.6664,0.2217,7976,,,0.00012604705
43.43833,3.40333,7979,,,0.00021535147
43.43833,3.40333,7986,,,0.0018661483
43.43833,3.40333,7990,,,0.00065937656
43.43833,3.40333,7994,,,0.00012466456
43.43767,3.40033,7999,,,0.0007307248
43.43767,3.40033,8000,,,0.0044441004
43.43767,3.40033,8001,,,0.0002137039
44.1475,-0.8456,8009,,,0.00073374534
44.1475,-0.8456,8011,,,5.7983296e-08
43.4417,1.88,8012,,,5.003351e-06
43.4417,1.88,8013,,,8.686198e-05
43.825,1.1767,8023,,,0.0011053674
43.825,1.1767,8024,,,2.0399099e-05
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,,,0.000422461
43.6397,-0.435,8038,,,0.0015927977
43.79517,4.09083,8042,,,0.00044688108
43.79517,4.09083,8044,,,0.0011696254
43.79517,4.09083,8051,,,0.0013026807
