lat,lon,gpi,"1-SMOS Level 3
(version 339 Descending)
Variable: Soil_Moisture [m³/m³]
Median: 4.87
IQR: 5.48
N: 70","3-ERA5
(v20190613)
Variable: swvl1 [m³/m³]
Median: 4.1
IQR: 6.33
N: 70","2-C3S SM combined
(v202012)
Variable: sm [m³/m³]
Median: 4.67
IQR: 5.51
N: 70"
43.825,1.1767,8032,,,
43.6397,-0.435,8035,20.520575,,
43.6397,-0.435,8038,28.6979,,
43.79517,4.09083,8042,2.7651865,,
43.79517,4.09083,8044,4.7892375,,
43.79517,4.09083,8051,3.1883943,,
44.467,-0.7269,1404,,3.7767346,
44.467,-0.7269,1407,,7.7671523,
44.472,-0.7675,1410,,6.219096,
44.472,-0.7675,1411,,4.088454,
44.4914,-0.7568,1421,,0.19314735,
44.49126,-0.758,1438,,2.0288572,
44.7899,-0.5765,1446,,12.200229,
44.7899,-0.5765,1450,,10.500048,
44.7899,-0.5765,1451,,15.023482,
44.666,4.15983,7839,,1.3705441,
44.666,4.15983,7841,,7.348244,
44.666,4.15983,7846,,6.782858,
44.666,4.15983,7847,,1.2863808,
44.62833,4.56667,7851,,1.514116,
44.62833,4.56667,7852,,9.419576,
44.62833,4.56667,7855,,8.207622,
44.62833,4.56667,7857,,4.1016917,
43.88367,5.16483,7863,,3.6880443,
43.88367,5.16483,7866,,6.9388957,
43.9744,0.3361,7871,,4.0227757,
43.9744,0.3361,7872,,4.2606726,
43.9744,0.3361,7873,,0.15444103,
43.9936,-0.0469,7885,,8.554615,
43.9936,-0.0469,7887,,14.508801,
43.9936,-0.0469,7889,,25.537127,
43.9936,-0.0469,7890,,4.4644933,
44.243,4.01017,7892,,21.578644,
44.243,4.01017,7895,,30.521753,
43.5472,0.8878,7903,,3.139128,
43.5472,0.8878,7904,,2.536534,
43.5472,0.8878,7909,,0.02293666,
43.1733,2.7283,7913,,31.953701,
43.1733,2.7283,7917,,17.474792,
44.73383,4.08383,7921,,15.035217,
44.73383,4.08383,7926,,7.936196,
44.222,4.34483,7929,,8.933034,
44.222,4.34483,7932,,1.8483335,
44.222,4.34483,7935,,4.54185,
44.222,4.34483,7937,,15.4031925,
43.1922,1.6436,7939,,1.8091016,
43.1922,1.6436,7940,,1.5069063,
43.1922,1.6436,7943,,4.5907893,
43.1922,1.6436,7947,,2.099534,
42.96,2.53,7951,,5.4241447,
42.96,2.53,7954,,0.14175601,
42.96,2.53,7956,,3.1116242,
42.96,2.53,7958,,5.488075,
43.15,2.9567,7962,,1.6556072,
43.15,2.9567,7964,,3.7950804,
43.15,2.9567,7970,,1.6699269,
43.6664,0.2217,7975,,2.859328,
43.6664,0.2217,7976,,3.8127475,
43.43833,3.40333,7979,,2.1820965,
43.43833,3.40333,7986,,0.6642416,
43.43833,3.40333,7990,,1.8349053,
43.43833,3.40333,7994,,1.2467008,
43.43767,3.40033,7999,,0.7006854,
43.43767,3.40033,8000,,1.7285938,
43.43767,3.40033,8001,,1.2572492,
44.1475,-0.8456,8009,,8.066346,
44.1475,-0.8456,8011,,15.45435,
43.4417,1.88,8012,,4.6220436,
43.4417,1.88,8013,,11.487234,
43.825,1.1767,8023,,5.757709,
43.825,1.1767,8024,,9.026494,
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,,3.4145937,
43.6397,-0.435,8038,,3.965886,
43.79517,4.09083,8042,,2.0429165,
43.79517,4.09083,8044,,4.8360963,
43.79517,4.09083,8051,,1.0263512,
44.467,-0.7269,1404,,,4.470591
44.467,-0.7269,1407,,,8.157811
44.472,-0.7675,1410,,,7.3338847
44.472,-0.7675,1411,,,4.9993353
44.4914,-0.7568,1421,,,0.25859854
44.49126,-0.758,1438,,,3.0904355
44.7899,-0.5765,1446,,,17.668152
44.7899,-0.5765,1450,,,15.675217
44.7899,-0.5765,1451,,,20.002668
44.666,4.15983,7839,,,0.4221711
44.666,4.15983,7841,,,2.2909844
44.666,4.15983,7846,,,1.6419369
44.666,4.15983,7847,,,0.57083845
44.62833,4.56667,7851,,,1.2695988
44.62833,4.56667,7852,,,5.392687
44.62833,4.56667,7855,,,4.6427503
44.62833,4.56667,7857,,,3.379463
43.88367,5.16483,7863,,,2.7205245
43.88367,5.16483,7866,,,5.9137855
43.9744,0.3361,7871,,,2.5232224
43.9744,0.3361,7872,,,3.2033238
43.9744,0.3361,7873,,,0.2066133
43.9936,-0.0469,7885,,,5.0334744
43.9936,-0.0469,7887,,,8.128763
43.9936,-0.0469,7889,,,15.551919
43.9936,-0.0469,7890,,,2.9637766
44.243,4.01017,7892,,,18.663403
44.243,4.01017,7895,,,27.287298
43.5472,0.8878,7903,,,3.8502228
43.5472,0.8878,7904,,,4.7052765
43.5472,0.8878,7909,,,0.029906493
43.1733,2.7283,7913,,,29.92404
43.1733,2.7283,7917,,,15.74017
44.73383,4.08383,7921,,,7.1410184
44.73383,4.08383,7926,,,6.006839
44.222,4.34483,7929,,,11.33258
44.222,4.34483,7932,,,2.0622633
44.222,4.34483,7935,,,4.9553494
44.222,4.34483,7937,,,17.064728
43.1922,1.6436,7939,,,5.789055
43.1922,1.6436,7940,,,1.282604
43.1922,1.6436,7943,,,2.7371466
43.1922,1.6436,7947,,,1.1562252
42.96,2.53,7951,,,3.7143974
42.96,2.53,7954,,,0.10076152
42.96,2.53,7956,,,2.5613654
42.96,2.53,7958,,,4.578245
43.15,2.9567,7962,,,1.3547972
43.15,2.9567,7964,,,6.401854
43.15,2.9567,7970,,,2.8181512
43.6664,0.2217,7975,,,2.1976836
43.6664,0.2217,7976,,,4.726743
43.43833,3.40333,7979,,,11.778812
43.43833,3.40333,7986,,,7.0485296
43.43833,3.40333,7990,,,12.118597
43.43833,3.40333,7994,,,10.607858
43.43767,3.40033,7999,,,5.397474
43.43767,3.40033,8000,,,6.436411
43.43767,3.40033,8001,,,13.042282
44.1475,-0.8456,8009,,,9.600063
44.1475,-0.8456,8011,,,15.916284
43.4417,1.88,8012,,,1.7784379
43.4417,1.88,8013,,,3.5081594
43.825,1.1767,8023,,,5.656697
43.825,1.1767,8024,,,3.510589
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,,,4.624608
43.6397,-0.435,8038,,,4.43958
43.79517,4.09083,8042,,,3.9879413
43.79517,4.09083,8044,,,8.044629
43.79517,4.09083,8051,,,1.7946095
