lat,lon,gpi,"3-ERA5
(v20190613)
Variable: swvl1 [m³/m³]
Median: -0.071
IQR: 0.0792
N: 70
Mean CI range: 0.0112","1-SMOS Level 3
(version 339 Descending)
Variable: Soil_Moisture [m³/m³]
Median: 0.0474
IQR: 0.0836
N: 70
Mean CI range: 0.017","2-C3S SM combined
(v202012)
Variable: sm [m³/m³]
Median: -0.0782
IQR: 0.085
N: 70
Mean CI range: 0.011"
44.222,4.34483,7932,-0.11671626,,
44.222,4.34483,7935,-0.1953459,,
44.222,4.34483,7937,-0.1465163,,
43.1922,1.6436,7939,0.0029270307,,
43.1922,1.6436,7940,-0.06437103,,
43.1922,1.6436,7943,-0.05840452,,
43.1922,1.6436,7947,-0.099300504,,
42.96,2.53,7951,-0.077570215,,
42.96,2.53,7954,-0.046947356,,
42.96,2.53,7956,-0.08885666,,
42.96,2.53,7958,-0.053547982,,
43.15,2.9567,7962,-0.100054584,,
43.15,2.9567,7964,-0.05810654,,
43.15,2.9567,7970,-0.020131435,,
43.6664,0.2217,7975,0.0033295136,,
43.6664,0.2217,7976,-0.03396907,,
43.43833,3.40333,7979,-0.08939448,,
43.43833,3.40333,7986,-0.030938962,,
43.43833,3.40333,7990,-0.031345468,,
43.43833,3.40333,7994,-0.02464867,,
43.43767,3.40033,7999,0.019072974,,
43.43767,3.40033,8000,0.009910558,,
43.43767,3.40033,8001,-0.0035465513,,
44.1475,-0.8456,8009,-0.07396779,,
44.1475,-0.8456,8011,-0.100742705,,
43.4417,1.88,8012,-0.053826638,,
43.4417,1.88,8013,-0.103428915,,
43.825,1.1767,8023,-0.04000233,,
43.825,1.1767,8024,-0.07668771,,
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,-0.019606447,,
43.6397,-0.435,8038,0.013237109,,
43.79517,4.09083,8042,-0.05772967,,
43.79517,4.09083,8044,-0.06809773,,
43.79517,4.09083,8051,-0.030647269,,
44.467,-0.7269,1404,,-0.029798979,
44.467,-0.7269,1407,,-0.06283563,
44.472,-0.7675,1410,,-0.08424781,
44.472,-0.7675,1411,,-0.06161417,
44.4914,-0.7568,1421,,0.13734527,
44.49126,-0.758,1438,,-0.040883232,
44.7899,-0.5765,1446,,-0.017375365,
44.7899,-0.5765,1450,,-0.010717395,
44.7899,-0.5765,1451,,-0.03678208,
44.666,4.15983,7839,,0.1329118,
44.666,4.15983,7841,,0.074081205,
44.666,4.15983,7846,,0.089951575,
44.666,4.15983,7847,,0.13130854,
44.62833,4.56667,7851,,0.100060984,
44.62833,4.56667,7852,,-0.00983624,
44.62833,4.56667,7855,,0.02481653,
44.62833,4.56667,7857,,0.06699021,
43.88367,5.16483,7863,,0.10621747,
43.88367,5.16483,7866,,0.05655061,
43.9744,0.3361,7871,,0.14227103,
43.9744,0.3361,7872,,0.13341844,
43.9744,0.3361,7873,,0.04733342,
43.9936,-0.0469,7885,,-0.08221869,
43.9936,-0.0469,7887,,0.004431142,
43.9936,-0.0469,7889,,-0.033630937,
43.9936,-0.0469,7890,,0.009995813,
44.243,4.01017,7892,,0.023640968,
44.243,4.01017,7895,,-0.0096139535,
43.5472,0.8878,7903,,0.115947135,
43.5472,0.8878,7904,,0.13262774,
43.5472,0.8878,7909,,0.14798132,
43.1733,2.7283,7913,,-0.04903978,
43.1733,2.7283,7917,,0.0037105547,
44.73383,4.08383,7921,,0.03793446,
44.73383,4.08383,7926,,0.09393911,
44.222,4.34483,7929,,0.06493383,
44.222,4.34483,7932,,0.02638712,
44.222,4.34483,7935,,-0.05224251,
44.222,4.34483,7937,,0.01018002,
43.1922,1.6436,7939,,0.1392245,
43.1922,1.6436,7940,,0.05879071,
43.1922,1.6436,7943,,0.07784851,
43.1922,1.6436,7947,,0.023998857,
42.96,2.53,7951,,0.06158411,
42.96,2.53,7954,,0.047411483,
42.96,2.53,7956,,0.03751681,
42.96,2.53,7958,,0.084077395,
43.15,2.9567,7962,,0.006928437,
43.15,2.9567,7964,,0.048672367,
43.15,2.9567,7970,,0.08661429,
43.6664,0.2217,7975,,0.124754936,
43.6664,0.2217,7976,,0.08677885,
43.43833,3.40333,7979,,-0.039227594,
43.43833,3.40333,7986,,0.019316135,
43.43833,3.40333,7990,,0.033702124,
43.43833,3.40333,7994,,0.04039892,
43.43767,3.40033,7999,,0.08293723,
43.43767,3.40033,8000,,0.06802279,
43.43767,3.40033,8001,,0.05795239,
44.1475,-0.8456,8009,,-0.07690229,
44.1475,-0.8456,8011,,-0.10330579,
43.4417,1.88,8012,,0.09340964,
43.4417,1.88,8013,,0.043306123,
43.825,1.1767,8023,,0.08778413,
43.825,1.1767,8024,,0.050175473,
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,,0.11149634,
43.6397,-0.435,8038,,0.14984514,
43.79517,4.09083,8042,,0.038360953,
43.79517,4.09083,8044,,0.029005319,
43.79517,4.09083,8051,,0.066949084,
44.467,-0.7269,1404,,,-0.05285037
44.467,-0.7269,1407,,,-0.08897142
44.472,-0.7675,1410,,,-0.110084325
44.472,-0.7675,1411,,,-0.08745069
44.4914,-0.7568,1421,,,0.087394774
44.49126,-0.758,1438,,,-0.06260633
44.7899,-0.5765,1446,,,-0.16983242
44.7899,-0.5765,1450,,,-0.16335215
44.7899,-0.5765,1451,,,-0.18834926
44.666,4.15983,7839,,,0.005295029
44.666,4.15983,7841,,,-0.065749474
44.666,4.15983,7846,,,-0.04785506
44.666,4.15983,7847,,,0.0036917683
44.62833,4.56667,7851,,,-0.04734692
44.62833,4.56667,7852,,,-0.13842875
44.62833,4.56667,7855,,,-0.10358894
44.62833,4.56667,7857,,,-0.078003705
43.88367,5.16483,7863,,,-0.03658431
43.88367,5.16483,7866,,,-0.08625116
43.9744,0.3361,7871,,,0.0067848875
43.9744,0.3361,7872,,,-0.0020811139
43.9744,0.3361,7873,,,-0.08188815
43.9936,-0.0469,7885,,,-0.132175
43.9936,-0.0469,7887,,,-0.07925551
43.9936,-0.0469,7889,,,-0.11856977
43.9936,-0.0469,7890,,,-0.055634227
44.243,4.01017,7892,,,-0.15128212
44.243,4.01017,7895,,,-0.18453704
43.5472,0.8878,7903,,,-0.012686495
43.5472,0.8878,7904,,,0.0056152176
43.5472,0.8878,7909,,,0.010537494
43.1733,2.7283,7913,,,-0.17984094
43.1733,2.7283,7917,,,-0.12709059
44.73383,4.08383,7921,,,-0.06708466
44.73383,4.08383,7926,,,-0.011314861
44.222,4.34483,7929,,,-0.111390576
44.222,4.34483,7932,,,-0.13317083
44.222,4.34483,7935,,,-0.21180046
44.222,4.34483,7937,,,-0.16611351
43.1922,1.6436,7939,,,0.058763612
43.1922,1.6436,7940,,,-0.020761037
43.1922,1.6436,7943,,,-0.0023519292
43.1922,1.6436,7947,,,-0.0558731
42.96,2.53,7951,,,-0.05868062
42.96,2.53,7954,,,-0.031015556
42.96,2.53,7956,,,-0.07842783
42.96,2.53,7958,,,-0.037181925
43.15,2.9567,7962,,,-0.11987645
43.15,2.9567,7964,,,-0.09126675
43.15,2.9567,7970,,,-0.05546007
43.6664,0.2217,7975,,,-0.011937151
43.6664,0.2217,7976,,,-0.04721481
43.43833,3.40333,7979,,,-0.21921733
43.43833,3.40333,7986,,,-0.16093794
43.43833,3.40333,7990,,,-0.14516762
43.43833,3.40333,7994,,,-0.13847081
43.43767,3.40033,7999,,,-0.097433776
43.43767,3.40033,8000,,,-0.11406339
43.43767,3.40033,8001,,,-0.12312392
44.1475,-0.8456,8009,,,-0.08275177
44.1475,-0.8456,8011,,,-0.109882586
43.4417,1.88,8012,,,0.0053523034
43.4417,1.88,8013,,,-0.044270884
43.825,1.1767,8023,,,0.003276334
43.825,1.1767,8024,,,-0.03421496
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,,,-0.03565438
43.6397,-0.435,8038,,,-0.003994455
43.79517,4.09083,8042,,,-0.08562438
43.79517,4.09083,8044,,,-0.085486025
43.79517,4.09083,8051,,,-0.035718195
