lat,lon,gpi,"3-ERA5
(v20190613)
Variable: swvl1 [m³/m³]
Median: 0.0872
IQR: 0.0637
N: 70","1-SMOS Level 3
(version 339 Descending)
Variable: Soil_Moisture [m³/m³]
Median: 0.103
IQR: 0.0381
N: 70","2-C3S SM combined
(v202012)
Variable: sm [m³/m³]
Median: 0.095
IQR: 0.0625
N: 70"
43.43833,3.40333,7979,0.09555162,,
43.43833,3.40333,7986,0.05260868,,
43.43833,3.40333,7990,0.06057896,,
43.43833,3.40333,7994,0.04993397,,
43.43767,3.40033,7999,0.039860453,,
43.43767,3.40033,8000,0.0749154,,
43.43767,3.40033,8001,0.04097036,,
44.1475,-0.8456,8009,0.085131615,,
44.1475,-0.8456,8011,0.11141424,,
43.4417,1.88,8012,0.06982531,,
43.4417,1.88,8013,0.11002076,,
43.825,1.1767,8023,0.07238124,,
43.825,1.1767,8024,0.09125253,,
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,0.0555387,,
43.6397,-0.435,8038,0.06275602,,
43.79517,4.09083,8042,0.07450774,,
43.79517,4.09083,8044,0.08553557,,
43.79517,4.09083,8051,0.060870674,,
44.467,-0.7269,1404,,0.1136942,
44.467,-0.7269,1407,,0.13915308,
44.472,-0.7675,1410,,0.12650909,
44.472,-0.7675,1411,,0.11284096,
44.4914,-0.7568,1421,,0.17026208,
44.49126,-0.758,1438,,0.09855721,
44.7899,-0.5765,1446,,0.08424054,
44.7899,-0.5765,1450,,0.080183335,
44.7899,-0.5765,1451,,0.095689245,
44.666,4.15983,7839,,0.15101741,
44.666,4.15983,7841,,0.097043365,
44.666,4.15983,7846,,0.10697534,
44.666,4.15983,7847,,0.14875536,
44.62833,4.56667,7851,,0.11591312,
44.62833,4.56667,7852,,0.099152125,
44.62833,4.56667,7855,,0.08677461,
44.62833,4.56667,7857,,0.09088791,
43.88367,5.16483,7863,,0.124902934,
43.88367,5.16483,7866,,0.0852094,
43.9744,0.3361,7871,,0.16037789,
43.9744,0.3361,7872,,0.15807383,
43.9744,0.3361,7873,,0.09885244,
43.9936,-0.0469,7885,,0.11462877,
43.9936,-0.0469,7887,,0.075457625,
43.9936,-0.0469,7889,,0.08353923,
43.9936,-0.0469,7890,,0.09495766,
44.243,4.01017,7892,,0.06167631,
44.243,4.01017,7895,,0.059273455,
43.5472,0.8878,7903,,0.13699727,
43.5472,0.8878,7904,,0.15059753,
43.5472,0.8878,7909,,0.15758525,
43.1733,2.7283,7913,,0.088770434,
43.1733,2.7283,7917,,0.08123867,
44.73383,4.08383,7921,,0.085429296,
44.73383,4.08383,7926,,0.12537695,
44.222,4.34483,7929,,0.111430444,
44.222,4.34483,7932,,0.06263509,
44.222,4.34483,7935,,0.07822703,
44.222,4.34483,7937,,0.07122185,
43.1922,1.6436,7939,,0.15505189,
43.1922,1.6436,7940,,0.10375984,
43.1922,1.6436,7943,,0.10666853,
43.1922,1.6436,7947,,0.07445358,
42.96,2.53,7951,,0.09412868,
42.96,2.53,7954,,0.08428907,
42.96,2.53,7956,,0.072843716,
42.96,2.53,7958,,0.10935262,
43.15,2.9567,7962,,0.116618074,
43.15,2.9567,7964,,0.08689818,
43.15,2.9567,7970,,0.11412102,
43.6664,0.2217,7975,,0.14489351,
43.6664,0.2217,7976,,0.11033631,
43.43833,3.40333,7979,,0.08961393,
43.43833,3.40333,7986,,0.07363582,
43.43833,3.40333,7990,,0.08618334,
43.43833,3.40333,7994,,0.09177303,
43.43767,3.40033,7999,,0.109453,
43.43767,3.40033,8000,,0.122909434,
43.43767,3.40033,8001,,0.103026465,
44.1475,-0.8456,8009,,0.12357501,
44.1475,-0.8456,8011,,0.14898476,
43.4417,1.88,8012,,0.11715825,
43.4417,1.88,8013,,0.07849785,
43.825,1.1767,8023,,0.115898095,
43.825,1.1767,8024,,0.08347394,
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,,0.13615103,
43.6397,-0.435,8038,,0.16881472,
43.79517,4.09083,8042,,0.08668388,
43.79517,4.09083,8044,,0.085120164,
43.79517,4.09083,8051,,0.10728676,
44.467,-0.7269,1404,,,0.08991247
44.467,-0.7269,1407,,,0.122910775
44.472,-0.7675,1410,,,0.11579062
44.472,-0.7675,1411,,,0.09560101
44.4914,-0.7568,1421,,,0.09443088
44.49126,-0.758,1438,,,0.07593246
44.7899,-0.5765,1446,,,0.1745346
44.7899,-0.5765,1450,,,0.16866733
44.7899,-0.5765,1451,,,0.19035944
44.666,4.15983,7839,,,0.04789998
44.666,4.15983,7841,,,0.079225436
44.666,4.15983,7846,,,0.061579235
44.666,4.15983,7847,,,0.05569904
44.62833,4.56667,7851,,,0.07596646
44.62833,4.56667,7852,,,0.14805909
44.62833,4.56667,7855,,,0.11989095
44.62833,4.56667,7857,,,0.09840363
43.88367,5.16483,7863,,,0.07097893
43.88367,5.16483,7866,,,0.1046492
43.9744,0.3361,7871,,,0.04636003
43.9744,0.3361,7872,,,0.05264068
43.9744,0.3361,7873,,,0.101639874
43.9936,-0.0469,7885,,,0.13653754
43.9936,-0.0469,7887,,,0.092453204
43.9936,-0.0469,7889,,,0.12502028
43.9936,-0.0469,7890,,,0.086731054
44.243,4.01017,7892,,,0.15548438
44.243,4.01017,7895,,,0.18800595
43.5472,0.8878,7903,,,0.058815982
43.5472,0.8878,7904,,,0.06336198
43.5472,0.8878,7909,,,0.032681633
43.1733,2.7283,7913,,,0.18315876
43.1733,2.7283,7917,,,0.13283798
44.73383,4.08383,7921,,,0.10982955
44.73383,4.08383,7926,,,0.10014046
44.222,4.34483,7929,,,0.14149992
44.222,4.34483,7932,,,0.13818477
44.222,4.34483,7935,,,0.21420287
44.222,4.34483,7937,,,0.17379028
43.1922,1.6436,7939,,,0.08832871
43.1922,1.6436,7940,,,0.08897926
43.1922,1.6436,7943,,,0.061486498
43.1922,1.6436,7947,,,0.08474387
42.96,2.53,7951,,,0.07618232
42.96,2.53,7954,,,0.04630186
42.96,2.53,7956,,,0.089327104
42.96,2.53,7958,,,0.069825925
43.15,2.9567,7962,,,0.12551278
43.15,2.9567,7964,,,0.10202705
43.15,2.9567,7970,,,0.07298848
43.6664,0.2217,7975,,,0.042425282
43.6664,0.2217,7976,,,0.06043853
43.43833,3.40333,7979,,,0.2219994
43.43833,3.40333,7986,,,0.17137349
43.43833,3.40333,7990,,,0.155683
43.43833,3.40333,7994,,,0.14565615
43.43767,3.40033,7999,,,0.11063078
43.43767,3.40033,8000,,,0.14455946
43.43767,3.40033,8001,,,0.13195805
44.1475,-0.8456,8009,,,0.092873
44.1475,-0.8456,8011,,,0.113067076
43.4417,1.88,8012,,,0.04331269
43.4417,1.88,8013,,,0.060800415
43.825,1.1767,8023,,,0.07174351
43.825,1.1767,8024,,,0.056908265
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,,,0.06463439
43.6397,-0.435,8038,,,0.06639818
43.79517,4.09083,8042,,,0.10409994
43.79517,4.09083,8044,,,0.1103195
43.79517,4.09083,8051,,,0.08049059
