lat,lon,gpi,"2-C3S SM combined
(v202012)
Variable: sm [m³/m³]
Median: 0.00903
IQR: 0.0127
N: 70","3-ERA5
(v20190613)
Variable: swvl1 [m³/m³]
Median: 0.0076
IQR: 0.0119
N: 70","1-SMOS Level 3
(version 339 Descending)
Variable: Soil_Moisture [m³/m³]
Median: 0.0107
IQR: 0.00796
N: 70"
43.15,2.9567,7964,,0.0061708624,
43.15,2.9567,7970,,0.0031567614,
43.6664,0.2217,7975,,0.002341792,
43.6664,0.2217,7976,,0.0029464818,
43.43833,3.40333,7979,,0.009130111,
43.43833,3.40333,7986,,0.0027676735,
43.43833,3.40333,7990,,0.0036698107,
43.43833,3.40333,7994,,0.0024934015,
43.43767,3.40033,7999,,0.0015888558,
43.43767,3.40033,8000,,0.0056123175,
43.43767,3.40033,8001,,0.0016785704,
44.1475,-0.8456,8009,,0.0072473916,
44.1475,-0.8456,8011,,0.012413133,
43.4417,1.88,8012,,0.004875574,
43.4417,1.88,8013,,0.012104567,
43.825,1.1767,8023,,0.005239044,
43.825,1.1767,8024,,0.008327024,
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,,0.0030845471,
43.6397,-0.435,8038,,0.0039383178,
43.79517,4.09083,8042,,0.0055514034,
43.79517,4.09083,8044,,0.0073163332,
43.79517,4.09083,8051,,0.003705239,
44.467,-0.7269,1404,,,0.012926371
44.467,-0.7269,1407,,,0.019363578
44.472,-0.7675,1410,,,0.01600455
44.472,-0.7675,1411,,,0.012733082
44.4914,-0.7568,1421,,,0.028989175
44.49126,-0.758,1438,,,0.009713523
44.7899,-0.5765,1446,,,0.0070964694
44.7899,-0.5765,1450,,,0.006429367
44.7899,-0.5765,1451,,,0.009156432
44.666,4.15983,7839,,,0.022806257
44.666,4.15983,7841,,,0.009417415
44.666,4.15983,7846,,,0.011443723
44.666,4.15983,7847,,,0.022128157
44.62833,4.56667,7851,,,0.013435853
44.62833,4.56667,7852,,,0.009831144
44.62833,4.56667,7855,,,0.0075298334
44.62833,4.56667,7857,,,0.008260613
43.88367,5.16483,7863,,,0.015600743
43.88367,5.16483,7866,,,0.0072606415
43.9744,0.3361,7871,,,0.025721068
43.9744,0.3361,7872,,,0.024987334
43.9744,0.3361,7873,,,0.009771805
43.9936,-0.0469,7885,,,0.0131397545
43.9936,-0.0469,7887,,,0.005693853
43.9936,-0.0469,7889,,,0.0069788033
43.9936,-0.0469,7890,,,0.009016956
44.243,4.01017,7892,,,0.003803967
44.243,4.01017,7895,,,0.0035133425
43.5472,0.8878,7903,,,0.018768251
43.5472,0.8878,7904,,,0.022679618
43.5472,0.8878,7909,,,0.024833111
43.1733,2.7283,7913,,,0.007880189
43.1733,2.7283,7917,,,0.0065997215
44.73383,4.08383,7921,,,0.0072981645
44.73383,4.08383,7926,,,0.015719382
44.222,4.34483,7929,,,0.012416744
44.222,4.34483,7932,,,0.003923154
44.222,4.34483,7935,,,0.0061194673
44.222,4.34483,7937,,,0.005072552
43.1922,1.6436,7939,,,0.02404109
43.1922,1.6436,7940,,,0.010766104
43.1922,1.6436,7943,,,0.0113781765
43.1922,1.6436,7947,,,0.005543335
42.96,2.53,7951,,,0.008860208
42.96,2.53,7954,,,0.0071046473
42.96,2.53,7956,,,0.0053062066
42.96,2.53,7958,,,0.011957996
43.15,2.9567,7962,,,0.013599775
43.15,2.9567,7964,,,0.007551294
43.15,2.9567,7970,,,0.013023607
43.6664,0.2217,7975,,,0.020994129
43.6664,0.2217,7976,,,0.0121741025
43.43833,3.40333,7979,,,0.008030657
43.43833,3.40333,7986,,,0.005422234
43.43833,3.40333,7990,,,0.0074275685
43.43833,3.40333,7994,,,0.00842229
43.43767,3.40033,7999,,,0.011979959
43.43767,3.40033,8000,,,0.01510673
43.43767,3.40033,8001,,,0.010614452
44.1475,-0.8456,8009,,,0.015270784
44.1475,-0.8456,8011,,,0.02219646
43.4417,1.88,8012,,,0.013726056
43.4417,1.88,8013,,,0.006161913
43.825,1.1767,8023,,,0.013432368
43.825,1.1767,8024,,,0.0069678985
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,,,0.018537104
43.6397,-0.435,8038,,,0.028498411
43.79517,4.09083,8042,,,0.007514094
43.79517,4.09083,8044,,,0.007245443
43.79517,4.09083,8051,,,0.0115104485
